Sample_Name,Organism,Genotype,Age,Tissue,Molecule,Replicate,Paired_or_Single_End,PE_ 1_or_2,Approx_total_Number_paired_reads,raw_file 
C_4_2_7_2,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_7_2.fq.gz
C_4_3_7_1,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_7_1.fq.gz
C_4_3_7_2,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_7_2.fq.gz
C_4_1_8_1,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_8_1.fq.gz
C_4_1_8_2,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_8_2.fq.gz
C_4_2_8_1,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_8_1.fq.gz
C_4_2_8_2,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_8_2.fq.gz
C_4_3_8_1,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_8_1.fq.gz
C_4_3_8_2,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_8_2.fq.gz
C_4_1_9_1,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_9_1.fq.gz
C_4_1_9_2,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_9_2.fq.gz
C_4_2_9_1,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_9_1.fq.gz
C_4_2_9_2,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_9_2.fq.gz
C_4_3_9_1,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_9_1.fq.gz
C_4_3_9_2,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_9_2.fq.gz
C_4_1_10_1,Brassica_napus,AV-Garnet_x_NX1132,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_10_1.fq.gz
C_4_1_10_2,Brassica_napus,AV-Garnet_x_NX1132,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_10_2.fq.gz
C_4_2_10_1,Brassica_napus,AV-Garnet_x_NX1132,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_10_1.fq.gz
C_4_2_10_2,Brassica_napus,AV-Garnet_x_NX1132,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_10_2.fq.gz
C_4_3_10_1,Brassica_napus,AV-Garnet_x_NX1132,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_10_1.fq.gz
C_4_3_10_2,Brassica_napus,AV-Garnet_x_NX1132,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_10_2.fq.gz
C_4_1_11_1,Brassica_napus,NX1132_x_AV-Garnet,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_11_1.fq.gz
C_4_1_11_2,Brassica_napus,NX1132_x_AV-Garnet,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_11_2.fq.gz
C_4_2_11_1,Brassica_napus,NX1132_x_AV-Garnet,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_11_1.fq.gz
C_4_2_11_2,Brassica_napus,NX1132_x_AV-Garnet,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_11_2.fq.gz
C_4_3_11_1,Brassica_napus,NX1132_x_AV-Garnet,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_11_1.fq.gz
C_4_3_11_2,Brassica_napus,NX1132_x_AV-Garnet,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_11_2.fq.gz
